,Product Category,MPU/MCU,Document No.,TN-RA *- A0095A/E,Rev.,1.00
1,Title,"RA4M2 Group, RA4M3 Group, RA6M4 Group, RA6M5 Group, correction of Secure Cryptographic Engine (SCE9)",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA4M2 Group RA4M3 Group RA6M4 Group All RA6M5 Group,Reference Document,RA4M2 Group User's Manual Hardware Rev.1.30 RA4M3 Group User's Manual Hardware Rev.1.40 RA6M4 Group User's Manual Hardware Rev.1.30 RA6M5 Group User's Manual Hardware Rev.1.30,,
