,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,doc,Supported,,
3,elc,Supported,,
4,ethernet,Supported,Supported,Supported
5,flash_hp,Supported,Supported,Supported
6,freertos,Supported,Supported,Supported
7,gpt,Supported,Supported,Supported
8,gpt_input_capture,Supported,,
9,i3c_master,Supported,,
10,i3c_slave,Supported,,
11,icu,Supported,Supported,Supported
12,iic_master,Supported,,
13,iic_slave,Supported,Supported,Supported
14,iwdt,Supported,,
15,lpm,Supported,,
16,lvd,Supported,,
17,mbed_crypto,Supported,,
18,ospi_b,Supported,,
19,rtc,Supported,Supported,Supported
20,sci_i2c,Supported,,
21,sci_spi,Supported,,
22,sci_uart,Supported,Supported,Supported
23,sdhi,Supported,,
24,spi,Supported,Supported,Supported
25,ssi,Supported,,
26,ulpt,Supported,,
27,usb_composite,Supported,,
28,usb_hcdc,Supported,,
29,usb_hhid,Supported,,
30,usb_hmsc,Supported,,
31,usb_hvnd,Supported,,
32,usb_multiport,Supported,,
33,usb_pcdc,Supported,,
34,usb_phid,Supported,,
35,usb_pmsc,Supported,,
36,usb_pvnd,Supported,,
37,vee_flash,Supported,,
38,wdt,Supported,Supported,Supported
39,wifi,Supported,,
40,trustzonelagt,Supported,,
41,trustzone/doc,Supported,,
42,trustzone/ethernet,Supported,,
43,trustzone/iic_master,Supported,,
44,trustzone/rtc,Supported,,
45,trustzone/usb_phid,Supported,,
