,Package,Enclosure Environment,PWB Environment,(R)ja[degC/W]
1,100-pin LQFP PLQP0100KB-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),45.2
2,64-pin LQFP PLQP0064KB-C,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),44.6
3,48-pin LQFP PLQP0048KB-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),52.2
4,64-pin QFN PWQN0064LA-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),26.1
5,48-pin QFN PWQN0048KB-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),28.0
6,40-pin QFN PWQN0040KC-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),30.7
