,Package,Enclosure Environment,PWB Environment,0 ja[degC/W]
1,145-pin LGA,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),30.7
2,PTLG0145KA-A,,,
3,144-pin LQFP PLQP0144KA-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),52.1
4,100-pin LQFP PLQP0100KB-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),51.3
