,Product Category,MPU/MCU,Document No.,TN-RA *- A0092A/E,Rev.,1.00
1,Title,Correction of SPI Byte swap function,Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RA6E1 Group, RA6T2 Group, RA6T3 Group, RA4E1 Group, RA4T1 Group All",Reference Document,Refer table at the end of this document,,
