,Product Category,MPU/MCU,Document No.,TN-RA *- A0048A/E,Rev.,1.00
1,Title,"RA2L1 Group, RA2E1 Group, RA2E2 Group, numbers of IO ports",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA2L1 Group RA2E1 Group RA2E2 Group All,Reference Document,RA2L1 Group User's Manual Hardware Rev.1.10 RA2E1 Group User's Manual Hardware Rev.1.10 RA2E2 Group User's Manual Hardware Rev.1.00,,
