,Product Category,MPU/MCU,Document No.,TN-RX *- A023A/E,Rev.,1.00
1,Title,Note on Using Multi-Function Timer Pulse Unit 3 (MTU3) Interrupts,Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RX 62T Group, RX 62G Group, and RX 63T Group All lots",Reference Document,RX62T Group User's Manual: Hardware RX62G Group User's Manual: Hardware RX63T Group User's Manual: Hardware,,
